0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:07 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:07 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:09 +0700] "GET /QLXB/dsxetrongtuyen/18.htm HTTP/1.1" 500 8294
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:09 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:09 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:18 +0700] "GET /QLXB/dsxetrongtuyen/danhsachnhanvien.htm HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:57 +0700] "GET /QLXB/dsxetrongtuyen/18.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:57 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:57 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:58 +0700] "GET /QLXB/dsxetrongtuyen/18.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:58 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:58 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:06:18 +0700] "GET /QLXB/dsxetrongtuyen/dstuyenduong.htm HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:06:23 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 18196
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:06:23 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:06:23 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:06:25 +0700] "GET /QLXB/dstuyenduong.htm?page=2 HTTP/1.1" 200 18203
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:06:25 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:06:25 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:06:28 +0700] "GET /QLXB/dsxetrongtuyen/1.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:06:28 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:06:28 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:07 +0700] "GET /QLXB/dsxetrongtuyen/1.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:07 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:07 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:09 +0700] "GET /QLXB/dsxetrongtuyen/1.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:09 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:09 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:10 +0700] "GET /QLXB/dsxetrongtuyen/1.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:10 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:10 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:10 +0700] "GET /QLXB/dsxetrongtuyen/1.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:10 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:10 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:50 +0700] "GET /QLXB/dsxetrongtuyen/1.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:50 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:50 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:51 +0700] "GET /QLXB/dsxetrongtuyen/1.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:51 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:51 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:51 +0700] "GET /QLXB/dsxetrongtuyen/1.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:51 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/trangchu.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:51 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:53 +0700] "GET /QLXB/dstuyenduong.htm?page=2 HTTP/1.1" 200 18203
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:53 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:53 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:54 +0700] "GET /QLXB/dstuyenduong.htm?page=2 HTTP/1.1" 200 18203
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:54 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:54 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:55 +0700] "GET /QLXB/dsxetrongtuyen/1.htm HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:08:55 +0700] "GET /QLXB/dsxetrongtuyen/assets/css/all.css HTTP/1.1" 404 805
