0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:21 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:21 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:22 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49082
0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:22 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:22 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:41 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49083
0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:41 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:41 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:42 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49083
0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:42 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:37:42 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:42:36 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49142
0:0:0:0:0:0:0:1 - - [23/May/2023:11:42:36 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:42:36 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:43:04 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49027
0:0:0:0:0:0:0:1 - - [23/May/2023:11:43:04 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:43:04 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:43:34 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49030
0:0:0:0:0:0:0:1 - - [23/May/2023:11:43:34 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:43:34 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:46:27 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49030
0:0:0:0:0:0:0:1 - - [23/May/2023:11:46:27 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:11:46:27 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:46:28 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49030
0:0:0:0:0:0:0:1 - - [23/May/2023:11:46:28 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:11:46:28 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:06:58 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49030
0:0:0:0:0:0:0:1 - - [23/May/2023:12:06:58 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:06:58 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:10:58 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49119
0:0:0:0:0:0:0:1 - - [23/May/2023:12:10:58 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:10:58 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:02 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49119
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:02 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:02 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:03 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49119
